UnifiedAssetId,Component,ComponentAssetId,AssetStatus,CanonicalName,SourceType,Category,ContextOrSubcategory,Family,PublicRelativePath,ByteLength,SHA256,OriginalComponentPath
ITEM::i051_0003_04,ITEM,i051_0003_04,READY,Great Aid Ade +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_04__Great Aid Ade +.png,21678,8191F230533089333E9F54CC0D54A73AE1A5AABEEE419B4B73FE20FD52831E00,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_04__Great Aid Ade +.png
ITEM::i051_0003_05,ITEM,i051_0003_05,READY,Ultra Aid Ade +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_05__Ultra Aid Ade +.png,22020,124242A0D67DB4510788115ACD8813AC54E8CC445A26DC3A358EDC999BC15C37,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_05__Ultra Aid Ade +.png
ITEM::i051_0003_06,ITEM,i051_0003_06,READY,Aid Ade ++,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_06__Aid Ade ++.png,15972,6E6AB960838AC4D5473983B8173471FF1CAFE48F76E1923283AAA5F177593D61,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_06__Aid Ade ++.png
ITEM::i051_0003_07,ITEM,i051_0003_07,READY,Great Aid Ade ++,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_07__Great Aid Ade ++.png,21017,D214E808420684221FB3044ECE582F16709931759562E16020C474E5DEDF5B1E,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_07__Great Aid Ade ++.png
ITEM::i051_0004_00,ITEM,i051_0004_00,READY,Gym Leader Notes,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0004_00__Gym Leader Notes.png,17304,CE4CC91D5EB16944207CDEED4775BA83BFB59D40B0EF5AD947BAF5879474EEC6,assets/Training & Upgrades/Drinks & Training Machines/i051_0004_00__Gym Leader Notes.png
ITEM::i051_0004_01,ITEM,i051_0004_01,READY,Elite Four Notes,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0004_01__Elite Four Notes.png,22290,71F38A97493BAA7723E59FB4DB9408B0ED17872CD857784846FDB8DDA52DC96E,assets/Training & Upgrades/Drinks & Training Machines/i051_0004_01__Elite Four Notes.png
ITEM::i051_0004_02,ITEM,i051_0004_02,READY,Champion Notes,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0004_02__Champion Notes.png,22667,BD3ABAFEF3E61967A697C281AF61DC9EB5F594EE3943A558FA7D1F8BDDEF2E1E,assets/Training & Upgrades/Drinks & Training Machines/i051_0004_02__Champion Notes.png
ITEM::i051_0008_00,ITEM,i051_0008_00,READY,Evolution Shard,STANDALONE_ITEM,Training & Upgrades,Evolution Materials,,Items/Training & Upgrades/Evolution Materials/i051_0008_00__Evolution Shard.png,10116,9C2C16BF40AE88C4A1B2B0C459A76D6340239EF349403A1988C66AD807C73808,assets/Training & Upgrades/Evolution Materials/i051_0008_00__Evolution Shard.png
ITEM::i051_0008_01,ITEM,i051_0008_01,READY,Evolution Crystal,STANDALONE_ITEM,Training & Upgrades,Evolution Materials,,Items/Training & Upgrades/Evolution Materials/i051_0008_01__Evolution Crystal.png,17692,524200C68E1B4311992AE28AD8DC033EC693BE536972DD3ACB930B48B940E342,assets/Training & Upgrades/Evolution Materials/i051_0008_01__Evolution Crystal.png
ITEM::i051_0009_00,ITEM,i051_0009_00,READY,Training Machine,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0009_00__Training Machine.png,21035,FA95B16D3BAE2D1A35DFBB19FCECEF37D5C27D8F6A3D2879456097FE0358F16D,assets/Training & Upgrades/Drinks & Training Machines/i051_0009_00__Training Machine.png
ITEM::i051_0009_01,ITEM,i051_0009_01,READY,Super Training Machine,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0009_01__Super Training Machine.png,21899,AD3EADE91BE945169996909EB3405691F17E1AB023E5E60A0D217A63E41F6EBD,assets/Training & Upgrades/Drinks & Training Machines/i051_0009_01__Super Training Machine.png
ITEM::i051_0010_00,ITEM,i051_0010_00,READY,Skill Capsule,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0010_00__Skill Capsule.png,14620,3767CC5B3BC2E4BC40D916D60547AA072DF4087E1CCDFA991507F716E4C9F3D4,assets/Training & Upgrades/Drinks & Training Machines/i051_0010_00__Skill Capsule.png
ITEM::i051_0010_01,ITEM,i051_0010_01,READY,Super Skill Capsule,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0010_01__Super Skill Capsule.png,20060,66DAA7DA65F905D0EB9E10CBDDC6A07F72933056DB586F1E086FF4E0AC59D142,assets/Training & Upgrades/Drinks & Training Machines/i051_0010_01__Super Skill Capsule.png
ITEM::i051_0011_00,ITEM,i051_0011_00,READY,Lucky Scroll,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0011_00__Lucky Scroll.png,16809,79D0C95EAFA272DC1227B71F6154C202A0DB66BC83332E6C246DD5FCD0FAB606,assets/Training & Upgrades/Drinks & Training Machines/i051_0011_00__Lucky Scroll.png
ITEM::i051_0012_00,ITEM,i051_0012_00,READY,1★ Crispy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0012_00__1★ Crispy Lucky Cookie.png,18335,09AE28941DBB720565FBCDA9CCA3E7596233B00889F3E7D17898184EB9F79E1B,assets/Lucky Skills/Lucky Cookies/i051_0012_00__1★ Crispy Lucky Cookie.png
ITEM::i051_0012_01,ITEM,i051_0012_01,READY,2★ Crispy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0012_01__2★ Crispy Lucky Cookie.png,19361,6DCA65A22055637CAF85F6EED1B5626F33F00F917FE0E17B3906C4A6F1CDA8D0,assets/Lucky Skills/Lucky Cookies/i051_0012_01__2★ Crispy Lucky Cookie.png
ITEM::i051_0012_02,ITEM,i051_0012_02,READY,3★ Crispy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0012_02__3★ Crispy Lucky Cookie.png,19884,ED66D945FE26F3178A1D65C518D5C9CD6C704F9957732A55A9F922A0BBB63AEB,assets/Lucky Skills/Lucky Cookies/i051_0012_02__3★ Crispy Lucky Cookie.png
ITEM::i051_0013_00,ITEM,i051_0013_00,READY,1★ Creamy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0013_00__1★ Creamy Lucky Cookie.png,18115,24B887C58DEB5728E795F63E390DABE414DDC7C97E64E856129EAE6DEB9407D9,assets/Lucky Skills/Lucky Cookies/i051_0013_00__1★ Creamy Lucky Cookie.png
ITEM::i051_0013_01,ITEM,i051_0013_01,READY,2★ Creamy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0013_01__2★ Creamy Lucky Cookie.png,19313,BCF2DB3C455D3049AC05D1CDEE5D5633A4894CB1BD005B2BDB47D133EAC6A7C9,assets/Lucky Skills/Lucky Cookies/i051_0013_01__2★ Creamy Lucky Cookie.png
ITEM::i051_0013_02,ITEM,i051_0013_02,READY,3★ Creamy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0013_02__3★ Creamy Lucky Cookie.png,19902,759DA71226933642D9EC51C5F71AF942D39E36C83D131155E749CEF4B07243D3,assets/Lucky Skills/Lucky Cookies/i051_0013_02__3★ Creamy Lucky Cookie.png
ITEM::i051_0014_00,ITEM,i051_0014_00,READY,1★ Crunchy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0014_00__1★ Crunchy Lucky Cookie.png,18275,1F48A2644CC773B2B65671F7F33E6344F214719569AD348ED95BF7BF0DDCAA16,assets/Lucky Skills/Lucky Cookies/i051_0014_00__1★ Crunchy Lucky Cookie.png
ITEM::i051_0014_01,ITEM,i051_0014_01,READY,2★ Crunchy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0014_01__2★ Crunchy Lucky Cookie.png,19333,A48A31EDCE83E9F65646A9F49478009ADCFDAEC55C0B0056BADCAD1861E8E6F7,assets/Lucky Skills/Lucky Cookies/i051_0014_01__2★ Crunchy Lucky Cookie.png
ITEM::i051_0014_02,ITEM,i051_0014_02,READY,3★ Crunchy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0014_02__3★ Crunchy Lucky Cookie.png,20101,9ECFEAD395A588F01952EB3E1A6592206D87467FC6EA646470A380D651562972,assets/Lucky Skills/Lucky Cookies/i051_0014_02__3★ Crunchy Lucky Cookie.png
ITEM::i051_0015_00,ITEM,i051_0015_00,READY,Chewy Lucky Cookie,STANDALONE_ITEM,Lucky Skills,Lucky Cookies,,Items/Lucky Skills/Lucky Cookies/i051_0015_00__Chewy Lucky Cookie.png,20215,039BA89BB981DC03971CF08C8CEC9C5C6C8FBFAC79EA369209A22B6999E19134,assets/Lucky Skills/Lucky Cookies/i051_0015_00__Chewy Lucky Cookie.png
ITEM::i051_0016_00,ITEM,i051_0016_00,READY,"Fire Tome, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0016_00__Fire Tome, Vol. 1.png",18446,6A592C89BCB8046FC1B0011905D799927278C54F893CA842F3FA2A381F7D1B8F,"assets/Training & Upgrades/Drinks & Training Machines/i051_0016_00__Fire Tome, Vol. 1.png"
ITEM::i051_0016_01,ITEM,i051_0016_01,READY,"Fire Codex, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0016_01__Fire Codex, Vol. 1.png",20835,F5363DF34D81E8F9381164D9161BC8EDBDD6D3899AA264CF55DAC3029F420FDD,"assets/Training & Upgrades/Drinks & Training Machines/i051_0016_01__Fire Codex, Vol. 1.png"
ITEM::i051_0017_00,ITEM,i051_0017_00,READY,"Water Tome, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0017_00__Water Tome, Vol. 1.png",19273,38FFD87B480DCE62BA73EDB166A3107DFA707FA8EE300A3E8259169D34ADD724,"assets/Training & Upgrades/Drinks & Training Machines/i051_0017_00__Water Tome, Vol. 1.png"
ITEM::i051_0017_01,ITEM,i051_0017_01,READY,"Water Codex, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0017_01__Water Codex, Vol. 1.png",21512,7F70F5832E4C7609DBD2D24CC1EDBA62708C6647E43A356DB85CB2D321A1D4B5,"assets/Training & Upgrades/Drinks & Training Machines/i051_0017_01__Water Codex, Vol. 1.png"
ITEM::i051_0018_00,ITEM,i051_0018_00,READY,"Electric Tome, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0018_00__Electric Tome, Vol. 1.png",19764,A6B024795221F718FEAC74B659F01D981CC863078E292F4D637D75434F667157,"assets/Training & Upgrades/Drinks & Training Machines/i051_0018_00__Electric Tome, Vol. 1.png"
ITEM::i051_0018_01,ITEM,i051_0018_01,READY,"Electric Codex, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0018_01__Electric Codex, Vol. 1.png",21552,9E6E086E783F0411C327288EC13E6EE3E1DFA9203B2FECC61DFF37ABD560AD98,"assets/Training & Upgrades/Drinks & Training Machines/i051_0018_01__Electric Codex, Vol. 1.png"
ITEM::i051_0019_00,ITEM,i051_0019_00,READY,"Grass Tome, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0019_00__Grass Tome, Vol. 1.png",19065,8819D765CB713A536CCAA75AFDCDAE7B8DBCCCE978F5523F23A1EBED00647228,"assets/Training & Upgrades/Drinks & Training Machines/i051_0019_00__Grass Tome, Vol. 1.png"
ITEM::i051_0019_01,ITEM,i051_0019_01,READY,"Grass Codex, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0019_01__Grass Codex, Vol. 1.png",20517,88E2EC2210D48604C4D28C2DCBDEE13C76809D6B113FC2F9D5E8C15112AC3F75,"assets/Training & Upgrades/Drinks & Training Machines/i051_0019_01__Grass Codex, Vol. 1.png"
ITEM::i051_0020_00,ITEM,i051_0020_00,READY,"Ice Tome, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0020_00__Ice Tome, Vol. 1.png",20052,965E02737461912F8386812D274F732AAB2F5DBD7E6DADC1EA2C55C8F608798A,"assets/Training & Upgrades/Drinks & Training Machines/i051_0020_00__Ice Tome, Vol. 1.png"
ITEM::i051_0020_01,ITEM,i051_0020_01,READY,"Ice Codex, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0020_01__Ice Codex, Vol. 1.png",22150,D9D0D28E205B0F6615FB6234B764F34CF63E1BC8EEE499EE5A7843683EB8688A,"assets/Training & Upgrades/Drinks & Training Machines/i051_0020_01__Ice Codex, Vol. 1.png"
ITEM::i051_0021_00,ITEM,i051_0021_00,READY,"Fighting Tome, Vol. 1",STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,"Items/Training & Upgrades/Drinks & Training Machines/i051_0021_00__Fighting Tome, Vol. 1.png",19980,569CA81F0B2321D9E091AC6593C95D9DE65573158B56E5F2519E58645037736B,"assets/Training & Upgrades/Drinks & Training Machines/i051_0021_00__Fighting Tome, Vol. 1.png"
